recall,precision
1.0,0.5697674418604651
1.0,0.5764705882352941
0.9795918367346939,0.5714285714285714
0.9591836734693877,0.5662650602409639
0.9591836734693877,0.573170731707317
0.9591836734693877,0.5802469135802469
0.9591836734693877,0.5875
0.9591836734693877,0.5949367088607594
0.9387755102040817,0.5897435897435898
0.9183673469387755,0.5844155844155844
0.9183673469387755,0.5921052631578947
0.9183673469387755,0.6
0.9183673469387755,0.6081081081081081
0.9183673469387755,0.6164383561643836
0.9183673469387755,0.625
0.8979591836734694,0.6197183098591549
0.8979591836734694,0.6285714285714286
0.8979591836734694,0.6470588235294118
0.8775510204081632,0.6417910447761194
0.8775510204081632,0.6515151515151515
0.8571428571428571,0.6461538461538462
0.8571428571428571,0.65625
0.8571428571428571,0.6666666666666666
0.8571428571428571,0.6774193548387096
0.8571428571428571,0.6885245901639344
0.8571428571428571,0.7
0.8571428571428571,0.711864406779661
0.8367346938775511,0.7068965517241379
0.8367346938775511,0.7192982456140351
0.8163265306122449,0.7142857142857143
0.8163265306122449,0.7272727272727273
0.8163265306122449,0.7407407407407407
0.7755102040816326,0.7307692307692307
0.7755102040816326,0.76
0.7551020408163265,0.7551020408163265
0.7551020408163265,0.7708333333333334
0.7346938775510204,0.7659574468085106
0.6938775510204082,0.7555555555555555
0.6938775510204082,0.7727272727272727
0.673469387755102,0.7674418604651163
0.6530612244897959,0.7619047619047619
0.6530612244897959,0.7804878048780488
0.6326530612244898,0.775
0.6122448979591837,0.7692307692307693
0.5918367346938775,0.7631578947368421
0.5918367346938775,0.7837837837837838
0.5918367346938775,0.8055555555555556
0.5714285714285714,0.8
0.5714285714285714,0.8235294117647058
0.5306122448979592,0.8125
0.5102040816326531,0.8064516129032258
0.4897959183673469,0.8
0.46938775510204084,0.7931034482758621
0.4489795918367347,0.7857142857142857
0.4489795918367347,0.8148148148148148
0.42857142857142855,0.8076923076923077
0.40816326530612246,0.8
0.3877551020408163,0.7916666666666666
0.3673469387755102,0.782608695652174
0.3469387755102041,0.7727272727272727
0.32653061224489793,0.7619047619047619
0.30612244897959184,0.75
0.2857142857142857,0.7368421052631579
0.2653061224489796,0.7222222222222222
0.24489795918367346,0.7058823529411765
0.24489795918367346,0.75
0.22448979591836735,0.7333333333333333
0.20408163265306123,0.7142857142857143
0.20408163265306123,0.7692307692307693
0.1836734693877551,0.75
0.16326530612244897,0.7272727272727273
0.14285714285714285,0.7
0.12244897959183673,0.6666666666666666
0.10204081632653061,0.625
0.08163265306122448,0.5714285714285714
0.061224489795918366,0.5
0.061224489795918366,0.6
0.061224489795918366,0.75
0.04081632653061224,0.6666666666666666
0.04081632653061224,1.0
0.02040816326530612,1.0
0.0,1.0
